Timestamp,Calling service,Service called
20191121-170619,A,B
20191121-170620,A,D
20191121-170621,E,C
20191121-170622,D,E
20191121-170623,B,C
20191121-170624,C,F
20191121-170625,D,E
20191121-170626,D,E
20191121-170627,D,E
20191121-170628,E,C
20191121-170629,E,C
20191121-170630,E,C
20191121-170631,E,C
20191121-170632,C,F
20191121-170633,C,F
20191121-170634,C,F
20191121-170635,C,F
20191121-170636,A,B
20191121-170637,A,D
20191121-170638,A,B
20191121-170639,A,D
20191121-170640,A,B
20191121-170641,E,C
20191121-170642,D,E
20191121-170643,B,C
20191121-170644,B,C
